ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,substance,fossil_bio,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022
1.A.1.a,Main Activity Electricity and Heat Production,CO2,fossil,459143.80366401,471948.11038701,479405.70293684,501598.43311243,548321.36253414,561403.49947514,596730.09214111,658464.36259902,684655.56046238,758498.10391307,785470.22449781,818995.32183752,946155.85608822,962551.52659865,1077498.2433762,1055398.047454,1044048.0596868,1098781.5089728,1197158.0147199,1163774.7838308,1057473.2323025,1165721.752242,1265694.5898086
1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries,CO2,fossil,32094.40066342,33409.4256192,34174.7851977,34813.51018913,36407.17392227,38164.53205634,42599.40843738,44818.70383906,37223.87208383,31009.1137892,34212.99967248,41236.75859995,42958.00539281,43484.62141913,45934.74338636,47718.41678668,52271.99065223,56116.13543533,58665.59920278,64301.03727471,58786.43370838,57651.87157641,60166.902688285
1.A.2,Manufacturing Industries and Construction,CO2,fossil,192274.74568894,193979.69416309,207670.19664116,198424.61011493,208255.61191104,232618.95238838,260307.18891445,295258.492775,308178.90830722,355090.93267323,397490.35885464,442459.2070313,431065.41758738,468418.7631757,499883.26383994,502718.98076539,523635.41930249,555095.93965621,564678.13463408,548901.25444562,501028.75251228,559388.93233313,568725.48056611
1.A.3.a,Civil Aviation,CO2,fossil,2151.5508442999,2158.24744135,2170.68419425,2376.36824425,2689.19937,3883.56354815,4774.23924835,5537.72897535,5482.24839305,5829.6090567,6501.4017854501,7387.1890020500005,7318.2290037999,7796.4873558,8265.1025456999,9217.80574715,10758.00596585,12232.4289516,13658.4891443,13413.1766197,6839.9544928,10385.8232907,13123.206363988
1.A.3.b_noRES,Road Transportation no resuspension,CO2,fossil,86480.24833455,85703.03678472,88623.47671854,90111.14327112,98219.17923296,103167.21413113,107504.93231152,127663.73708885,147211.5151445,162423.00948791,176040.45059693,190614.47511584,202935.73124552,207007.30177629,215861.64512164,236600.08981743,246789.50196223,265561.40333074,277517.38946416,280835.3967852,252008.52982188,272836.36192829,298202.51993489
1.A.3.c,Railways,CO2,fossil,4664.03780889,5135.78894757,5392.7626731,5264.42150274,5249.69166924,6057.54421737,5991.19511865,6569.68052637,6985.87060713,7287.69918693,7626.04210812,7810.22895984,8158.20571857,8453.15141316,8649.53124244,8756.52229769,8509.06512211,8460.41584314,8717.2625878,8150.42727806,3923.87540952,5613.70211127,6047.0558363042
1.A.3.d,Water-borne Navigation,CO2,fossil,1549.56119964,1564.43337276,1279.93583688,1460.10473679,1538.66797722,2020.83265065,2113.30380633,2958.25111515,3288.73409088,2949.08510622,2546.40930699,2529.89487882,2181.90455772,2134.06148013,2149.56369285,2219.33645079,2237.54593236,3839.19119949,4569.25194339,4866.88675437,4891.63053954,5147.06600781,5197.658233003
1.A.3.e,Other Transportation,CO2,fossil,244.43624049,356.93511465,270.49887798,313.96253217,354.48555222,274.50978213,264.40649808,247.04397639,241.37099136,222.52469058,204.58030383,948.0638514,923.66761773,867.91609383,821.31025707,954.09818226,1092.78278235,1138.26634716,1228.1714286,1190.24576373,999.56358582,1110.4061424,1038.5789015108
1.A.4,Residential and other sectors,CO2,fossil,97875.69389864,95783.07918082,99452.93780773,101049.45859982,104331.11334805,103612.36819569,107896.02084704,107909.17947633,107974.53378958,114208.42922597,119085.25132397,125234.11369373,127822.03179879,130407.33672611,134652.75499466,138557.65458785,143343.748749,147675.68190367,153321.9475112,157246.60005049,155302.41650732,161616.54160335,167875.85985668
1.A.5,Non-Specified,CO2,fossil,13345.49404686,14806.67827206,16218.20315738,23600.72204236,22905.16756478,23782.34599747,20283.90659789,17043.2250133,47916.04593067,43599.44399732,42436.44945,24454.54800311,35066.74769201,29065.9935494,33188.64065615,33600.84109305,34740.8783324,35536.06251087,36726.62304242,35096.617706,33392.38191283,39535.0590041,40964.79238449
1.B.1,Solid Fuels,CO2,fossil,3195.8179275902,1270.5286953186,5153.1991339539,7949.7165451353,18506.177575133,15410.974017198,17191.475196918,3645.0924085222,4739.8898050736,5780.5987250517,6752.5621848568,7185.9281276219,12624.583314152,13090.867127439,14748.897678779,14514.568426014,14511.584397379,18645.102066935,19318.095999667,20081.964961644,16250.376345595,16705.560423323,43804.571237629
1.B.2,Oil and Natural Gas,CO2,fossil,128.57933918323,127.57071270455,145.25808936005,143.83853020165,191.68247317449,154.03607198537,208.50355637726,198.50515955227,228.88957520642,202.52554298218,203.69520191799,509.98012356154,3895.8803230462,3554.1787148441,3827.1986803702,4459.2209211302,4059.0803557645,3085.8343408075,2733.7475790964,2688.8695072657,3048.0751860163,3009.2461334654,3164.9377827901
2.A.1,Cement production,CO2,fossil,37525,39900,45770,48216,50310,52635,56640,64090,66970,71545,76780,81840,100170,103040,93111.2,97524,103339.08,110510.4,112840,116365.6,101036,121940,132392
2.A.2,Lime production,CO2,fossil,973.17857142857,682.5,675,675,675,690,900,900,975,975,1050,11250,11250,12000,12000,12000,12000,12000,12000,12000,11250,12000,12000
2.A.3,Glass Production,CO2,fossil,52.674,53.5945,54.5095,55.4185,56.321,57.2165,58.1045,58.9845,59.8535,60.709,61.549,62.3725,63.1795,63.207018087215,63.99694128422,64.796736465002,65.446283758002,66.102342361739,66.764977548084,67.476569440258,59.597568816994,70.708979952366,74.749493092501
2.A.4,Other Process Uses of Carbonates,CO2,fossil,979.043372585,1024.732626605,977.487914405,946.18543343,1019.10023125,1136.774983965,1041.199497095,1081.10083285,1090.984319715,1204.039034715,1636.35429047,1609.176778355,1854.153225605,1815.0488373,1854.55787215,1922.444300735,1934.98011408,1963.775423955,2191.68705827,2227.986692045,1967.8325573452,2334.7165934604,2468.1289702295
2.B,Chemical Industry,CO2,fossil,23996.018032499,24475.145900538,24389.060496783,25061.918791069,26833.721053073,27175.361446557,27668.094300238,28396.417872125,28912.78649721,28836.447276763,29976.192020368,28533.368824863,29609.321453839,29776.266678707,29006.920438305,30986.631081824,36089.056618715,36498.175082003,38792.266760226,39550.231047547,39505.971812854,40080.943741903,44569.095315396
2.C,Metal Industry,CO2,fossil,5239.38902112,5084.342718282,5075.051351882,5470.205152368,5805.521849818,7073.342230774,7369.516210562,8747.025661058,10194.853120086,11093.064653584,12049.695948654,13187.529752448,13972.333205966,15120.98473818,16666.615336774,17533.932049462,19318.062685542,21089.982541239,22461.555873879,22335.844406807,20312.531387441,23709.887130238,25098.435052231
2.D,Non-Energy Products from Fuels and Solvent Use,CO2,fossil,2664.1021280865,2724.5199781369,2747.2967718864,2957.1195979025,2962.484357764,3613.4921980788,3558.4479750344,3960.4454950644,3795.8191094628,4182.8155613409,4137.449610072,4354.4435082389,4689.3759877289,4814.5610132862,4804.3847897893,5033.3135926605,5088.8080898648,5439.241300956,5374.3704643169,5557.4661624186,5711.4287018657,6190.0375975834,6117.2321496824
3.C.2,Liming,CO2,fossil,3015.6761907595,3028.8761907321,2676.2476192726,2818.7238097755,3056.9523812089,3294.5523812265,3512.4571431317,3359.0857144921,4030.8190478391,4595.485714548,4919.8285717503,4567.8285717046,4172.8761907517,3438.9142859573,3535.7142859694,4016.1523811955,3932.342857376,4248.0952383882,4199.2761907633,4836.2285718129,5638.2857147193,4537.2380956201,4537.2380956201
3.C.3,Urea application,CO2,fossil,13869.111764057,14397.425953714,13367.826140914,14288.368830686,14937.997284,16117.825640914,17592.611087057,18767.725159114,19263.510783257,19281.110780057,20321.3963052,21371.424685714,21687.281771143,22119.738835371,22126.653119829,22144.567402286,21406.467536486,21609.338928171,22710.753013629,24356.981285743,25330.7953944,24707.409793457,25367.598244851
5.B,Fossil fuel fires,CO2,fossil,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190
