year,gdp
2000,800534479623.61
2001,839151992864.812
2002,871073127580.09
2003,939542798342.002
2004,1013982178697.24
2005,1094324353140.52
2006,1182534912713.8
2007,1273126725479.64
2008,1312424303406.43
2009,1415605643155.69
2010,1535897931732.14
2011,1616399198833.92
2012,1704596203504.32
2013,1813453530766.63
2014,1947834564908.95
2015,2103588360044.94
2016,2277267041550.36
2017,2432016068497.75
2018,2588974770244.57
2019,2689205295885.31
2020,2533830417086.54
2021,2779348258938.77
2022,2990839011962.46
