year,co2_total,gdp
2000,995652.56273705,800534479623.61
2001,1011804.6665593,839151992864.812
2002,1049880.12106,871073127580.09
2003,1081785.2295363,939542798342.002
2004,1166816.6112873,1013982178697.24
2005,1216533.9379132,1094324353140.52
2006,1298395.1033872,1182534912713.8
2007,1413864.7881876,1273126725479.64
2008,1503611.0655585,1312424303406.43
2009,1643064.7474162001,1415605643155.69
2010,1743692.8910335,1535897931732.14
2011,1850331.8538461,1616399198833.92
2012,2022764.7816748,1704596203504.32
2013,2083210.9268374,1813453530766.63
2014,2242840.9382563,1947834564908.95
2015,2260131.4200741,2103588360044.94
2016,2303361.9074268,2277267041550.36
2017,2433783.0814158,2432016068497.75
2018,2573119.4015961,2588974770244.57
2019,2542035.0757134,2689205295885.31
2020,2318947.6654619,2533830417086.54
2021,2548483.2647285,2779348258938.77
2022,2740820.6309154,2990839011962.46
