state,year,co2_intensity,unit
Andaman and Nicobar,2022,583.87,gCO2/kWh
Andhra Pradesh,2022,620.63,gCO2/kWh
Arunachal Pradesh,2022,24.11,gCO2/kWh
Assam,2022,631.29,gCO2/kWh
Bihar,2022,816.5,gCO2/kWh
Chandigarh,2022,48.33,gCO2/kWh
Chhattisgarh,2022,809.72,gCO2/kWh
Dadra and Nagar Haveli,2022,70.41,gCO2/kWh
NCT of Delhi,2022,442.37,gCO2/kWh
Goa,2022,45.88,gCO2/kWh
Gujarat,2022,493.95,gCO2/kWh
Haryana,2022,788.01,gCO2/kWh
Himachal Pradesh,2022,24.03,gCO2/kWh
Jammu and Kashmir,2022,24,gCO2/kWh
Jharkhand,2022,810.93,gCO2/kWh
Karnataka,2022,353.81,gCO2/kWh
Kerala,2022,26.53,gCO2/kWh
Lakshadweep,2022,90.91,gCO2/kWh
Madhya Pradesh,2022,737.6,gCO2/kWh
Maharashtra,2022,658.3,gCO2/kWh
Manipur,2022,24.38,gCO2/kWh
Meghalaya,2022,24,gCO2/kWh
Mizoram,2022,24.25,gCO2/kWh
Nagaland,2022,23.99,gCO2/kWh
Odisha,2022,745.42,gCO2/kWh
Puducherry,2022,468.3,gCO2/kWh
Punjab,2022,662.82,gCO2/kWh
Rajasthan,2022,468.84,gCO2/kWh
Sikkim,2022,24.02,gCO2/kWh
Tamil Nadu,2022,476.65,gCO2/kWh
Telangana,2022,655.89,gCO2/kWh
Tripura,2022,489.58,gCO2/kWh
Uttar Pradesh,2022,766.85,gCO2/kWh
Uttarakhand,2022,27.56,gCO2/kWh
West Bengal,2022,774.13,gCO2/kWh
