year,activity_effect,structure_effect,intensity_effect,actual_change,sum_of_effects
2001,47284.45928646134,0.8297386743398079,-31132.355464248714,16152.103822250036,16152.933560886966
2002,38476.98677891363,4.147541796880134,-401.5322781579414,38075.4545007,38079.60204255258
2003,80622.72950189811,7.943802257355628,-48717.62102560757,31905.108476300025,31913.052278547897
2004,85661.84940846718,21.942907018131223,-630.4676574333889,85031.38175099995,85053.32465805193
2005,90842.28095532872,6.533010121369955,-41124.9543295223,49717.32662589988,49723.8596359278
2006,97437.8873299421,8.716208690657055,-15576.721855875898,81861.16547400015,81869.88168275685
2007,99961.64056105606,93.78905370320376,15508.044239327033,115469.68480039993,115563.4738540863
2008,44266.44013729805,132.5174627859184,45479.837233554004,89746.27737089992,89878.79483363798
2009,118983.0265772129,13.380292934428667,20470.65528050952,139453.68185770023,139467.06215065686
2010,138055.01949594964,9.077743861434016,-37426.8758786117,100628.14361729985,100637.2213611994
2011,91719.91240500337,63.80807253099067,14919.050407553337,106638.96281259996,106702.7708850877
2012,102769.42341198112,77.3755248530988,69663.5044167343,172432.92782870005,172510.3033535685
2013,127068.23065153658,5.896821964719379,-66622.08548894673,60446.14516260009,60452.04198455457
2014,154535.17545864973,19.63109671732269,5094.835960239886,159630.0114189,159649.64251560695
2015,173180.92797441172,1.6813736044468897,-155890.44615661065,17290.481817800086,17292.163191405532
2016,180995.2767520131,3.231622931328104,-137764.7893992906,43230.48735269997,43233.718975653814
2017,155679.2639605349,1.699652025131627,-25258.089971493504,130421.1739889998,130422.87364106653
2018,156518.01119684472,9.67532338070589,-17181.691016646455,139336.32018030016,139345.99550357898
2019,97142.10026469834,-0.9974247743958813,-128226.42614732019,-31084.325882700272,-31085.323307396247
2020,-144533.5945174086,-18.52085608080759,-78553.81573407119,-223087.41025149962,-223105.9311075606
2021,224900.46680256847,13.33797467307798,4635.132463971915,229535.59926659986,229548.93724121345
2022,193780.42606017593,85.51998646058496,-1443.0598732573533,192337.36618690006,192422.88617337917
